"Id","calories","minutesAsleep"
1503960366,1816.41935483871,360.28
1644430081,2811.3,294
1844505072,1573.48387096774,652
1927972279,2172.8064516129,417
2026352035,1540.64516129032,506.178571428571
2320127002,1724.16129032258,61
2347167796,2043.44444444444,446.8
3977333714,1513.66666666667,293.642857142857
4020332650,2385.8064516129,349.375
4319703577,2037.67741935484,476.653846153846
4388161847,3093.87096774194,403.125
4445114986,2186.1935483871,385.178571428571
4558609924,2033.25806451613,127.6
4702921684,2965.54838709677,421.142857142857
5553957443,1875.67741935484,463.483870967742
5577150313,3359.63333333333,432
6117666160,2261.14285714286,478.777777777778
6775888955,2131.76923076923,349.666666666667
6962181067,1982.03225806452,448
7007744171,2544,68.5
7086361926,2566.35483870968,453.125
8053475328,2945.8064516129,297
8378563200,3436.58064516129,443.34375
8792009665,1962.31034482759,435.666666666667
